NO,TEMP,RH,DATE,TIME
508,20.9,89.5,15/02/2025,4:32:01
509,20.9,89.3,15/02/2025,4:42:01
510,20.9,89.1,15/02/2025,4:52:01
511,20.8,89.2,15/02/2025,5:02:01
512,20.8,89.1,15/02/2025,5:12:01
513,20.8,89.2,15/02/2025,5:22:01
514,20.8,89.0,15/02/2025,5:32:01
515,20.8,88.6,15/02/2025,5:42:01
516,20.8,88.5,15/02/2025,5:52:01
517,20.7,88.5,15/02/2025,6:02:01
518,20.7,88.4,15/02/2025,6:12:01
519,20.7,88.2,15/02/2025,6:22:01
520,20.7,88.4,15/02/2025,6:32:01
521,20.7,88.3,15/02/2025,6:42:01
522,20.7,88.3,15/02/2025,6:52:01
523,20.7,88.3,15/02/2025,7:02:01
524,20.7,88.2,15/02/2025,7:12:01
525,20.6,88.4,15/02/2025,7:22:01
526,20.6,88.2,15/02/2025,7:32:01
527,20.6,88.2,15/02/2025,7:42:01
528,20.6,88.3,15/02/2025,7:52:01
529,20.6,88.2,15/02/2025,8:02:01
530,20.5,88.2,15/02/2025,8:12:01
531,20.6,88.3,15/02/2025,8:22:01
532,20.5,88.9,15/02/2025,8:32:01
533,20.6,88.7,15/02/2025,8:42:01
534,20.6,88.6,15/02/2025,8:52:01
535,20.5,88.4,15/02/2025,9:02:01
536,20.6,88.6,15/02/2025,9:12:01
537,20.6,88.8,15/02/2025,9:22:01
538,20.7,88.7,15/02/2025,9:32:01
539,20.7,88.6,15/02/2025,9:42:01
540,20.8,89.0,15/02/2025,9:52:01
541,20.9,88.7,15/02/2025,10:02:01
542,21.0,88.2,15/02/2025,10:12:01
543,21.2,87.8,15/02/2025,10:22:01
544,21.2,86.4,15/02/2025,10:32:01
545,21.3,85.9,15/02/2025,10:42:01
546,21.4,85.7,15/02/2025,10:52:01
547,21.5,85.6,15/02/2025,11:02:01
548,21.5,85.3,15/02/2025,11:12:01
549,21.7,84.9,15/02/2025,11:22:01
550,21.8,85.2,15/02/2025,11:32:01
551,21.9,82.2,15/02/2025,11:42:01
552,22.0,84.4,15/02/2025,11:52:01
553,22.2,84.6,15/02/2025,12:02:01
554,22.3,84.8,15/02/2025,12:12:01
555,22.4,84.9,15/02/2025,12:22:01
556,22.5,84.8,15/02/2025,12:32:01
557,22.6,84.6,15/02/2025,12:42:01
558,22.7,84.8,15/02/2025,12:52:01
559,22.7,84.5,15/02/2025,13:02:01
560,22.8,84.7,15/02/2025,13:12:01
561,22.9,84.6,15/02/2025,13:22:01
562,22.9,84.8,15/02/2025,13:32:01
563,23.0,84.4,15/02/2025,13:42:01
564,23.1,84.1,15/02/2025,13:52:01
565,23.2,84.3,15/02/2025,14:02:01
566,23.3,84.1,15/02/2025,14:12:01
567,23.3,84.1,15/02/2025,14:22:01
568,23.4,84.3,15/02/2025,14:32:01
569,23.4,84.4,15/02/2025,14:42:01
570,23.5,83.9,15/02/2025,14:52:01
571,23.6,84.1,15/02/2025,15:02:01
572,23.6,83.8,15/02/2025,15:12:01
573,23.7,83.6,15/02/2025,15:22:01
574,23.7,83.3,15/02/2025,15:32:01
575,23.7,83.0,15/02/2025,15:42:01
576,23.7,82.8,15/02/2025,15:52:01
577,23.7,82.7,15/02/2025,16:02:01
578,23.7,82.4,15/02/2025,16:12:01
579,23.6,82.2,15/02/2025,16:22:01
580,23.6,83.4,15/02/2025,16:32:01
581,23.6,83.6,15/02/2025,16:42:01
582,23.5,75.3,15/02/2025,16:52:01
583,23.4,74.3,15/02/2025,17:02:01
584,23.4,71.9,15/02/2025,17:12:01
585,23.3,72.9,15/02/2025,17:22:01
586,23.3,73.8,15/02/2025,17:32:01
587,23.2,74.7,15/02/2025,17:42:01
588,23.2,75.1,15/02/2025,17:52:01
589,23.2,75.5,15/02/2025,18:02:01
590,23.1,75.6,15/02/2025,18:12:01
591,23.1,75.8,15/02/2025,18:22:01
592,23.1,75.9,15/02/2025,18:32:01
593,23.0,76.5,15/02/2025,18:42:01
594,23.0,77.6,15/02/2025,18:52:01
595,23.0,77.7,15/02/2025,19:02:01
596,23.0,77.7,15/02/2025,19:12:01
597,22.9,75.9,15/02/2025,19:22:01
598,22.9,75.9,15/02/2025,19:32:01
599,22.9,75.6,15/02/2025,19:42:01
600,22.8,75.8,15/02/2025,19:52:01
601,22.8,76.0,15/02/2025,20:02:01
602,22.7,75.9,15/02/2025,20:12:01
603,22.7,76.0,15/02/2025,20:22:01
